value,date
0.0,2007-01-01
0.0,2007-01-02
0.0,2007-01-03
0.0,2007-01-04
0.0,2007-01-05
0.0,2007-01-06
0.0,2007-01-07
0.0,2007-01-08
0.0,2007-01-09
0.0,2007-01-10
0.0,2007-01-11
0.0,2007-01-12
0.0,2007-01-13
0.0,2007-01-14
0.0,2007-01-15
0.0,2007-01-16
0.0,2007-01-17
0.0,2007-01-18
0.0,2007-01-19
0.0,2007-01-20
0.0,2007-01-21
0.0,2007-01-22
0.0,2007-01-23
0.0,2007-01-24
0.0,2007-01-25
0.0,2007-01-26
0.0,2007-01-27
0.0,2007-01-28
0.0,2007-01-29
0.0,2007-01-30
0.0,2007-01-31
0.0,2007-02-01
0.0,2007-02-02
0.0,2007-02-03
0.0,2007-02-04
0.0,2007-02-05
0.0,2007-02-06
0.0,2007-02-07
0.0,2007-02-08
0.0,2007-02-09
0.0,2007-02-10
0.0,2007-02-11
0.0,2007-02-12
0.0,2007-02-13
0.0,2007-02-14
0.0,2007-02-15
0.0,2007-02-16
0.0,2007-02-17
0.0,2007-02-18
0.0,2007-02-19
0.0,2007-02-20
0.0,2007-02-21
0.0,2007-02-22
0.0,2007-02-23
0.0,2007-02-24
0.0,2007-02-25
0.0,2007-02-26
0.0,2007-02-27
0.0,2007-02-28
0.0,2007-03-01
0.0,2007-03-02
0.0,2007-03-03
0.0,2007-03-04
0.0,2007-03-05
0.0,2007-03-06
0.0,2007-03-07
0.0,2007-03-08
0.0,2007-03-09
0.0,2007-03-10
0.0,2007-03-11
1.3376711322819217,2007-03-12
0.0,2007-03-13
0.0,2007-03-14
0.0,2007-03-15
0.04334016454586394,2007-03-16
0.0,2007-03-17
0.0,2007-03-18
0.0,2007-03-19
0.0,2007-03-20
0.0,2007-03-21
0.0,2007-03-22
0.0,2007-03-23
0.0,2007-03-24
0.0,2007-03-25
0.0,2007-03-26
0.0,2007-03-27
0.0,2007-03-28
0.2919519743473518,2007-03-29
3.450435677889453,2007-03-30
0.0,2007-03-31
0.0,2007-04-01
0.0,2007-04-02
1.8288779375860194,2007-04-03
0.0,2007-04-04
1.1448324355610133,2007-04-05
0.0,2007-04-06
2.645722916524747,2007-04-07
5.69763133986546,2007-04-08
5.291445833049494,2007-04-09
2.0306947546516594,2007-04-10
0.5936786778767408,2007-04-11
0.0,2007-04-12
0.0,2007-04-13
0.0,2007-04-14
0.0,2007-04-15
0.0,2007-04-16
0.0,2007-04-17
0.0,2007-04-18
2.198692516303994,2007-04-19
11.618237894648747,2007-04-20
9.86360910204551,2007-04-21
5.5253360342754965,2007-04-22
2.4659022755113775,2007-04-23
2.4659022755113775,2007-04-24
4.455967527035201,2007-04-25
2.623047556492142,2007-04-26
2.6802442853621664,2007-04-27
0.0,2007-04-28
0.0,2007-04-29
0.13261751765084903,2007-04-30
3.9032683843860365,2007-05-01
2.153345067832143,2007-05-02
0.2096362874248879,2007-05-03
0.7500768910023564,2007-05-04
0.6628433769994099,2007-05-05
4.655685695883043,2007-05-06
4.048741233111302,2007-05-07
12.31176264990774,2007-05-08
0.0,2007-05-09
3.487537702277669,2007-05-10
1.8401992424982723,2007-05-11
0.0,2007-05-12
7.971976289043001,2007-05-13
0.0,2007-05-14
0.0,2007-05-15
0.0,2007-05-16
3.1924397438465326,2007-05-17
18.68855181774672,2007-05-18
12.633458585635024,2007-05-19
4.045735623535429,2007-05-20
6.352730576901867,2007-05-21
4.600548991808833,2007-05-22
2.3441560215075463,2007-05-23
5.20532122000511,2007-05-24
0.131106567937708,2007-05-25
10.676015846065575,2007-05-26
0.0,2007-05-27
6.325745472712765,2007-05-28
17.8182209092578,2007-05-29
3.2409702893749195,2007-05-30
3.084775183337846,2007-05-31
3.3663685609249683,2007-06-01
4.457726828660489,2007-06-02
14.187666696345666,2007-06-03
8.575972996360091,2007-06-04
0.0,2007-06-05
0.0,2007-06-06
0.0,2007-06-07
6.2707228295948605,2007-06-08
2.202707445591285,2007-06-09
12.156229986428334,2007-06-10
0.0,2007-06-11
0.0,2007-06-12
3.0114322001826594,2007-06-13
0.0,2007-06-14
0.0,2007-06-15
0.0,2007-06-16
0.0,2007-06-17
0.0,2007-06-18
0.2260754008562695,2007-06-19
2.2803832516565965,2007-06-20
2.0008075279338833,2007-06-21
0.22616286111376963,2007-06-22
0.0,2007-06-23
1.6227686491362223,2007-06-24
0.0,2007-06-25
0.8838464205324046,2007-06-26
1.5841943719618496,2007-06-27
0.9401997363511049,2007-06-28
0.4551652465568613,2007-06-29
2.3374665902255876,2007-06-30
1.2864353926049712,2007-07-01
0.7189142515986979,2007-07-02
0.9642909473848853,2007-07-03
1.2864353926049712,2007-07-04
0.0,2007-07-05
0.0,2007-07-06
0.0,2007-07-07
5.541122992358617,2007-07-08
0.0,2007-07-09
0.0,2007-07-10
0.035838597137882455,2007-07-11
1.865081177406832,2007-07-12
1.7102951397158792,2007-07-13
0.07897998243090207,2007-07-14
0.11666316848777204,2007-07-15
3.504109744452543,2007-07-16
0.0,2007-07-17
0.0,2007-07-18
0.0,2007-07-19
0.25661812352333147,2007-07-20
9.376154034094542,2007-07-21
14.402663580390623,2007-07-22
6.114844578784066,2007-07-23
7.920954607759715,2007-07-24
6.813423452414016,2007-07-25
2.1298113208166582,2007-07-26
4.242388180110918,2007-07-27
4.980265743310986,2007-07-28
2.121194090055459,2007-07-29
0.0,2007-07-30
0.0,2007-07-31
0.5408950679410438,2007-08-01
0.0,2007-08-02
0.0,2007-08-03
0.0,2007-08-04
12.43414431310116,2007-08-05
7.237697817533667,2007-08-06
3.6188489087668336,2007-08-07
3.6188489087668336,2007-08-08
9.411786508854043,2007-08-09
8.584477769551745,2007-08-10
10.576349187927272,2007-08-11
6.368018103133648,2007-08-12
11.929630612687113,2007-08-13
5.229008586927224,2007-08-14
13.850310066880194,2007-08-15
6.928378558111891,2007-08-16
3.8656284083422707,2007-08-17
6.7218418245369,2007-08-18
3.8656284083422707,2007-08-19
7.82569808096592,2007-08-20
6.843535157033421,2007-08-21
21.608775310007413,2007-08-22
0.0,2007-08-23
0.0,2007-08-24
6.1402619334550375,2007-08-25
13.548223768754484,2007-08-26
3.2373222189587714,2007-08-27
0.0,2007-08-28
6.474644437917543,2007-08-29
10.813086932678111,2007-08-30
2.529807635444336,2007-08-31
3.814246928810825,2007-09-01
0.0,2007-09-02
3.814246928810825,2007-09-03
6.357733396055271,2007-09-04
6.386176509330925,2007-09-05
2.9065883704464226,2007-09-06
3.71066473360247,2007-09-07
1.9877974713982707,2007-09-08
3.71066473360247,2007-09-09
2.092022975549374,2007-09-10
0.4341558607063077,2007-09-11
0.0,2007-09-12
5.398285100251744,2007-09-13
10.059199052327317,2007-09-14
5.601952500811256,2007-09-15
5.361931411505573,2007-09-16
0.0,2007-09-17
0.0,2007-09-18
2.472089805806489,2007-09-19
2.611340403374096,2007-09-20
2.9949724528713992,2007-09-21
0.0,2007-09-22
3.0821608462160524,2007-09-23
0.20683903165659692,2007-09-24
5.996080908280253,2007-09-25
6.971370071645387,2007-09-26
4.524408394131288,2007-09-27
0.0,2007-09-28
3.3428397706770148,2007-09-29
6.6856795413540295,2007-09-30
24.664883603413347,2007-10-01
0.0,2007-10-02
0.0,2007-10-03
0.6420073584544858,2007-10-04
11.227466315022667,2007-10-05
3.7018187633389954,2007-10-06
10.406949648587279,2007-10-07
0.0,2007-10-08
6.362047165377737,2007-10-09
5.2034748242936395,2007-10-10
0.3562294544476895,2007-10-11
12.61793624755496,2007-10-12
12.41861419625228,2007-10-13
0.0,2007-10-14
8.655119139800535,2007-10-15
2.815977860821661,2007-10-16
7.480066228771355,2007-10-17
23.450244949686425,2007-10-18
16.37745647559896,2007-10-19
18.834111825799383,2007-10-20
8.919783986886044,2007-10-21
4.745052637752434,2007-10-22
8.919783986886044,2007-10-23
0.0,2007-10-24
10.554694807376189,2007-10-25
7.744454128091038,2007-10-26
19.352768894489962,2007-10-27
0.0,2007-10-28
7.527195479359922,2007-10-29
0.6215868385537618,2007-10-30
7.243714684312676,2007-10-31
7.181790285063936,2007-11-01
8.308590883383351,2007-11-02
0.0,2007-11-03
0.0,2007-11-04
0.0,2007-11-05
2.2971709018545368,2007-11-06
4.85984866621795,2007-11-07
2.269663563262653,2007-11-08
11.160075856608062,2007-11-09
6.755726034410733,2007-11-10
0.0,2007-11-11
0.0,2007-11-12
0.0,2007-11-13
0.1931795295307276,2007-11-14
0.0,2007-11-15
0.0,2007-11-16
0.06681732183164,2007-11-17
0.17122069475264234,2007-11-18
0.052007391592482764,2007-11-19
0.0,2007-11-20
1.902236146735315,2007-11-21
4.065421266879776,2007-11-22
0.0,2007-11-23
0.0542537362025782,2007-11-24
1.2088414142952744,2007-11-25
0.0,2007-11-26
0.0,2007-11-27
2.2202423218399163,2007-11-28
0.9878823095511042,2007-11-29
0.0,2007-11-30
0.0,2007-12-01
0.0,2007-12-02
0.0,2007-12-03
0.0,2007-12-04
0.0,2007-12-05
0.0,2007-12-06
0.0,2007-12-07
0.0,2007-12-08
0.0,2007-12-09
0.0,2007-12-10
0.0,2007-12-11
0.0,2007-12-12
0.0,2007-12-13
0.0,2007-12-14
0.0,2007-12-15
0.0,2007-12-16
0.0,2007-12-17
0.0,2007-12-18
0.0,2007-12-19
0.0,2007-12-20
0.0,2007-12-21
0.0,2007-12-22
0.0,2007-12-23
1.403289273081505,2007-12-24
13.39775509911409,2007-12-25
0.0,2007-12-26
0.0,2007-12-27
0.0,2007-12-28
0.0,2007-12-29
0.0,2007-12-30
0.0,2007-12-31
0.0,2008-01-01
0.0,2008-01-02
0.0,2008-01-03
