value,date
23.807571926765508,2007-01-01
,2007-01-02
15.290098522167517,2007-01-03
,2007-01-04
,2007-01-05
,2007-01-06
,2007-01-07
,2007-01-08
,2007-01-09
,2007-01-10
23.501479065853175,2007-01-11
,2007-01-12
,2007-01-13
,2007-01-14
21.83525798525801,2007-01-15
,2007-01-16
,2007-01-17
,2007-01-18
,2007-01-19
22.405777496839477,2007-01-20
,2007-01-21
31.033639382367625,2007-01-22
,2007-01-23
26.567383363772237,2007-01-24
,2007-01-25
,2007-01-26
,2007-01-27
,2007-01-28
28.49757229320783,2007-01-29
,2007-01-30
,2007-01-31
26.257212352648217,2007-02-01
30.98663622779348,2007-02-02
29.52853893408602,2007-02-03
28.990249045326273,2007-02-04
31.466586418728244,2007-02-05
,2007-02-06
22.378198198198227,2007-02-07
26.45543582932096,2007-02-08
24.66716788321171,2007-02-09
26.156043499917025,2007-02-10
28.416251752172727,2007-02-11
27.615372737838314,2007-02-12
,2007-02-13
27.63952017267145,2007-02-14
,2007-02-15
30.555213348829522,2007-02-16
,2007-02-17
29.022156732525367,2007-02-18
,2007-02-19
29.62072887265486,2007-02-20
30.06092146770716,2007-02-21
,2007-02-22
31.649169848912532,2007-02-23
22.790310540459856,2007-02-24
,2007-02-25
28.204136439267916,2007-02-26
,2007-02-27
27.23356632907192,2007-02-28
,2007-03-01
32.30536775693181,2007-03-02
,2007-03-03
,2007-03-04
,2007-03-05
,2007-03-06
,2007-03-07
,2007-03-08
,2007-03-09
,2007-03-10
,2007-03-11
,2007-03-12
,2007-03-13
,2007-03-14
27.595515523825362,2007-03-15
,2007-03-16
,2007-03-17
30.550133155792302,2007-03-18
,2007-03-19
32.265281421218695,2007-03-20
,2007-03-21
,2007-03-22
23.942525849335336,2007-03-23
,2007-03-24
,2007-03-25
,2007-03-26
,2007-03-27
,2007-03-28
,2007-03-29
,2007-03-30
,2007-03-31
,2007-04-01
,2007-04-02
28.310212765957488,2007-04-03
,2007-04-04
,2007-04-05
24.814451070750913,2007-04-06
,2007-04-07
,2007-04-08
,2007-04-09
,2007-04-10
,2007-04-11
,2007-04-12
,2007-04-13
,2007-04-14
22.15639573070612,2007-04-15
,2007-04-16
,2007-04-17
,2007-04-18
30.91671031096565,2007-04-19
,2007-04-20
,2007-04-21
,2007-04-22
,2007-04-23
,2007-04-24
,2007-04-25
,2007-04-26
,2007-04-27
25.59541761868498,2007-04-28
,2007-04-29
,2007-04-30
,2007-05-01
,2007-05-02
,2007-05-03
,2007-05-04
30.505351153910045,2007-05-05
,2007-05-06
,2007-05-07
,2007-05-08
,2007-05-09
,2007-05-10
29.896568155404317,2007-05-11
,2007-05-12
,2007-05-13
30.713682572614147,2007-05-14
28.015478997177514,2007-05-15
,2007-05-16
25.72226543778805,2007-05-17
,2007-05-18
,2007-05-19
,2007-05-20
,2007-05-21
,2007-05-22
28.3974738415546,2007-05-23
22.269364568670852,2007-05-24
,2007-05-25
,2007-05-26
,2007-05-27
32.22823255813956,2007-05-28
,2007-05-29
,2007-05-30
,2007-05-31
24.995465071401036,2007-06-01
,2007-06-02
,2007-06-03
31.882000000000023,2007-06-04
,2007-06-05
26.935907355138664,2007-06-06
,2007-06-07
24.312906431652014,2007-06-08
,2007-06-09
,2007-06-10
29.203720737174194,2007-06-11
,2007-06-12
30.34568321434505,2007-06-13
,2007-06-14
30.64819691183799,2007-06-15
,2007-06-16
31.375679959953306,2007-06-17
,2007-06-18
28.247049969897684,2007-06-19
,2007-06-20
,2007-06-21
29.185549412577775,2007-06-22
,2007-06-23
24.87668437655657,2007-06-24
20.00630168453296,2007-06-25
,2007-06-26
27.413318025258356,2007-06-27
29.5038310412574,2007-06-28
,2007-06-29
,2007-06-30
28.499142857142882,2007-07-01
